64,83,143,86,1,1
66,84,145,87,2,1
66,86,145,89,3,1
69,84,146,87,4,1
64,83,143,86,5,1
68,84,146,87,6,1
65,83,142,86,7,1
66,85,145,86,8,1
64,81,144,84,9,1
65,78,144,81,10,1
62,78,143,80,11,1
65,80,146,83,12,1
65,80,144,83,13,1
65,80,145,84,14,1
65,80,145,83,15,1
65,81,145,84,16,1
64,78,143,83,17,1
64,80,141,83,18,1
65,80,143,84,19,1
64,81,145,86,20,1
61,80,141,83,21,1
59,75,140,80,22,1
62,78,140,81,23,1
64,78,144,81,24,1
64,77,144,81,25,1
64,77,144,81,26,1
63,80,143,83,27,1
61,78,142,81,28,1
62,78,141,81,29,1
61,77,140,80,30,1
62,78,141,81,31,2
62,75,140,78,32,2
60,78,140,81,33,2
62,78,141,81,34,2
62,80,141,81,35,2
63,78,143,81,36,2
62,78,140,81,37,2
64,80,144,83,38,2
64,81,144,84,39,2
62,78,141,81,40,2
62,80,142,81,41,2
64,80,143,83,42,2
64,80,142,81,43,2
62,78,140,81,44,2
61,80,140,81,45,2
63,80,141,83,46,2
60,81,138,83,47,2
59,81,138,83,48,2
59,80,137,81,49,2
60,80,138,81,50,2
61,80,140,81,51,2
59,80,137,81,52,2
59,80,138,81,53,2
58,80,136,81,54,2
56,81,134,82,55,2
58,81,135,83,56,2
58,81,134,83,57,2
58,81,135,83,58,2
58,81,135,83,59,2
56,81,134,81,60,2
58,81,134,83,61,3
58,83,135,84,62,3
58,83,135,84,63,3
58,83,135,83,64,3
58,81,135,83,65,3
60,84,136,84,66,3
58,83,134,83,67,3
60,83,135,84,68,3
56,83,135,84,69,3
58,81,134,81,70,3
59,81,136,83,71,3
62,80,141,83,72,3
61,81,140,83,73,3
65,83,144,84,74,3
66,81,146,83,75,3
68,83,147,84,76,3
70,83,148,86,77,3
69,81,147,84,78,3
70,81,148,84,79,3
72,81,149,84,80,3
71,81,149,84,81,3
71,81,149,84,82,3
71,81,150,84,83,3
70,81,148,84,84,3
69,81,148,83,85,3
72,82,151,84,86,3
71,80,148,83,87,3
70,81,148,84,88,3
72,80,150,83,89,3
70,78,148,81,90,3
69,78,147,81,91,4
69,77,148,80,92,4
71,78,148,81,93,4
69,77,147,79,94,4
70,77,148,79,95,4
70,81,150,84,96,4
71,78,149,81,97,4
70,78,148,81,98,4
71,80,150,83,99,4
72,81,150,84,100,4
70,78,148,81,101,4
71,80,150,83,102,4
71,78,150,81,103,4
71,78,149,81,104,4
72,79,151,82,105,4
69,80,147,83,106,4
69,77,148,79,107,4
69,78,149,81,108,4
71,78,149,81,109,4
69,78,148,81,110,4
70,79,149,82,111,4
70,79,148,82,112,4
71,80,149,83,113,4
70,79,150,82,114,4
71,80,150,83,115,4
69,80,147,83,116,4
68,78,147,83,117,4
67,78,145,81,118,4
68,78,146,81,119,4
67,79,147,82,120,4
67,77,146,79,121,5
68,80,146,83,122,5
67,79,145,82,123,5
66,77,144,79,124,5
66,77,145,79,125,5
66,80,146,83,126,5
