97,124,217,126,1,1
98,125,217,127,2,1
95,126,217,128,3,1
95,124,217,126,4,1
99,131,222,131,5,1
99,129,221,129,6,1
99,128,221,128,7,1
99,130,223,130,8,1
101,128,222,131,9,1
97,127,220,129,10,1
99,128,221,131,11,1
94,127,216,130,12,1
97,126,221,128,13,1
99,127,222,129,14,1
99,125,222,129,15,1
100,125,222,127,16,1
97,120,218,125,17,1
99,125,222,129,18,1
101,131,232,92,19,1
100,128,224,133,20,1
101,121,223,128,21,1
97,118,220,125,22,1
99,119,222,126,23,1
99,119,222,126,24,1
100,121,225,127,25,1
101,123,223,128,26,1
101,123,226,130,27,1
100,121,222,127,28,1
101,122,223,126,29,1
101,121,226,128,30,1
101,121,226,128,31,2
99,120,224,127,32,2
101,122,225,126,33,2
101,119,223,126,34,2
101,122,225,129,35,2
101,122,225,128,36,2
99,119,223,126,37,2
97,120,222,125,38,2
99,122,224,127,39,2
99,122,224,127,40,2
99,120,224,127,41,2
102,123,225,128,42,2
101,121,223,128,43,2
99,119,222,126,44,2
99,122,221,127,45,2
101,121,223,125,46,2
101,121,223,125,47,2
99,122,223,126,48,2
98,121,222,127,49,2
99,122,221,126,50,2
94,119,218,126,51,2
99,122,224,127,52,2
99,122,223,126,53,2
99,119,223,126,54,2
99,119,222,126,55,2
99,122,224,127,56,2
99,122,222,126,57,2
99,122,222,127,58,2
99,121,223,128,59,2
97,120,220,125,60,2
99,120,222,127,61,3
99,122,221,126,62,3
99,122,222,127,63,3
99,122,222,127,64,3
99,122,221,128,65,3
99,122,222,127,66,3
100,123,225,130,67,3
99,121,223,128,68,3
96,122,221,128,69,3
101,122,225,129,70,3
104,122,225,127,71,3
101,122,225,127,72,3
101,122,225,126,73,3
100,121,225,127,74,3
99,120,223,127,75,3
97,119,222,126,76,3
100,121,225,127,77,3
101,122,225,126,78,3
101,123,223,130,79,3
97,122,218,127,80,3
97,123,219,128,81,3
95,121,219,128,82,3
96,122,219,126,83,3
99,121,221,128,84,3
97,123,221,128,85,3
97,120,220,127,86,3
94,122,218,126,87,3
97,122,220,127,88,3
93,118,215,125,89,3
93,121,215,125,90,3
93,120,215,125,91,4
90,120,213,125,92,4
90,120,212,127,93,4
88,121,209,128,94,4
85,121,208,128,95,4
88,123,210,127,96,4
88,123,211,127,97,4
88,123,211,127,98,4
87,124,210,128,99,4
90,124,212,129,100,4
90,124,212,129,101,4
90,124,211,129,102,4
90,124,213,129,103,4
88,123,212,128,104,4
87,124,212,128,105,4
90,124,212,129,106,4
86,123,211,127,107,4
88,124,210,129,108,4
87,122,211,128,109,4
86,123,209,127,110,4
85,121,209,126,111,4
85,123,208,130,112,4
86,123,210,129,113,4
86,125,209,130,114,4
83,123,206,128,115,4
83,121,207,126,116,4
84,125,209,129,117,4
83,123,208,128,118,4
90,127,212,131,119,4
86,123,209,127,120,4
90,124,212,129,121,5
88,124,210,129,122,5
88,123,211,127,123,5
86,123,209,127,124,5
